"#","Product","Link","Brand","Sellers","Variations","Price","Category","Rank","Est. Sales","Est. Revenue","Reviews","Rating","FBA"
"20","Cute Dabbing Cupid Baby Valentines Day Accessories Gift T-Shirt","http://www.amazon.com//dp/B083B2GBG9","Valentines Day Apparel And Tops","1","1","$14.99",,,"-","-",,,"-"
"48","The Stinky &amp; Dirty Show - Season 2 Part 1","http://www.amazon.com//dp/B079NBXZVL",,"1","1","-",,,"-","-",,"4.8","-"
"53","Cute Dabbing Cupid Baby Valentines Day Accessories Gift T-Shirt","http://www.amazon.com//dp/B083B2FPRX","Valentines Day Apparel And Tops","1","1","$14.99",,,"-","-",,,"-"
"54","Cute Dabbing Cupid Baby Valentines Day Accessories Gift T-Shirt","http://www.amazon.com//dp/B083B2HS32","Valentines Day Apparel And Tops","1","1","$14.99",,,"-","-",,,"-"
"59","Star Wars Hearts Valentine's Day Logo T-Shirt","http://www.amazon.com//dp/B082QZS71B",,"1","1","$19.99",,,"-","-",,,"-"
"60",,"http://www.amazon.com//dp/",,"1","1","-",,,"-","-",,,"-"
"9","shermie Women's Pullover Sweaters Long Sleeve Crewneck Cute Heart Knitted Sweaters","http://www.amazon.com//dp/B07JN42QC3","shermie","1","1","$27.98","Clothing, Shoes &amp; Jewelry","835","6,053","$169,363","548 ","4.3","-"
"52","Calvin Klein Boys' Long Sleeve Sateen Dress Shirt","http://www.amazon.com//dp/B00MO9E5BA",,"1","1","$25.50","Clothing, Shoes &amp; Jewelry","1,452","4,522","$115,311","1,388 ","4.6","-"
"31","CHEROKEE Genuine CK614 Women's Mock Wrap Top","http://www.amazon.com//dp/B07G4DVGP3",,"1","1","$15.68","Clothing, Shoes &amp; Jewelry","3,057","2,302","$36,095","328 ","4.5","-"
"6","7 ate 9 Apparel Kids Dinosaur Happy Valentine's Day Red Raglan","http://www.amazon.com//dp/B01N4JBODE","7 ate 9 Apparel","1","1","$16.47","Clothing, Shoes &amp; Jewelry","6,343","948","$15,614","57 ","4.4","-"
"3","Beopjesk Womens Valentine's Day Graphic Tees Short Sleeve Heart Printed Shirts Blouse Tops","http://www.amazon.com//dp/B07M6QWS2H","Beopjesk","1","1","$15.98","Clothing, Shoes &amp; Jewelry","6,477","923","$14,750","22 ","4.5","-"
"7","Womens Valentines Day Shirt, ODGear Leopard Print Heart Shirt Top T-Shirt Short Sleeve Cute Graphic Print Tee","http://www.amazon.com//dp/B0837MCLZT","ODGear_Tops","1","1","$4.99","Grocery &amp; Gourmet Food","6,620","280","$1,397",,,"-"
"2","Valphsio Womens Long Sleeve Heart Prints Blouse Crew Neck Valentines Tshirt Sweatshirt","http://www.amazon.com//dp/B07MNLWS7R","Valphsio","1","1","$24.88","Clothing, Shoes &amp; Jewelry","7,427","776","$19,307","32 ","4.7","-"
"11","dickies EDS V-Neck Scrub Top","http://www.amazon.com//dp/B07GDFJV4W",,"1","1","$14.54","Clothing, Shoes &amp; Jewelry","8,242","681","$9,902","340 ","4.4","-"
"1","Beopjesk Womens Love Heart Raglans T-Shirts Casual Long Sleeve Valentine's Day Graphic Tees Tops","http://www.amazon.com//dp/B07MDH8VFD","Beopjesk","1","1","$16.98","Clothing, Shoes &amp; Jewelry","9,383","580","$9,848","33 ","4.0","-"
"29","Hanes Women’s Short Sleeve Graphic V-neck Tee (multiple graphics available)","http://www.amazon.com//dp/B06ZXY73HF",,"1","1","$5.25","Clothing, Shoes &amp; Jewelry","12,730","405","$2,126","327 ","4.2","-"
"39","Women's Love Letter Graphic T Shirt Basic Summer Casual Short Sleeve Tee Shirt Vintage Printed Blouse Cute T-Shirt Tops Red","http://www.amazon.com//dp/B07HP7DG7T","LANMERTREE","1","1","$15.98","Clothing, Shoes &amp; Jewelry","13,923","367","$5,865","188 ","4.7","-"
"22","7 ate 9 Apparel Boy's Mommy's Little Valentine Toddler Vintage Baseball Tee","http://www.amazon.com//dp/B01ATX162S","7 ate 9 Apparel","1","1","$16.47","Clothing, Shoes &amp; Jewelry","17,186","295","$4,859","19 ","4.6","-"
"8","Buffalo Plaid Heart Shirt Top Womens Valentine's Day T Shirt Short Sleeve Cute Graphic Print Tee","http://www.amazon.com//dp/B07M917YPL","LUKYCILD","1","1","$16.99","Clothing, Shoes &amp; Jewelry","18,137","280","$4,757","18 ","4.2","-"
"43","7 ate 9 Apparel Boy's Valentine's Day Toddler Vintage Baseball Tee","http://www.amazon.com//dp/B01ATX15DI","7 ate 9 Apparel","1","1","$16.47","Clothing, Shoes &amp; Jewelry","20,430","251","$4,134","20 ","4.3","-"
"25","Jumping Beans Toddler Boys 2T-5T Snoopy Eligible Bachelor Graphic Tee","http://www.amazon.com//dp/B07RLVS1VR",,"1","1","$9.99","Clothing, Shoes &amp; Jewelry","20,640","249","$2,488","4 ","4.4","-"
"14","7 ate 9 Apparel Girl's Valentine's Day Unicorn Red Baseball Tee","http://www.amazon.com//dp/B077C61FPV","7 ate 9 Apparel","1","1","$16.47","Clothing, Shoes &amp; Jewelry","21,223","243","$4,002","6 ","5.0","-"
"47","Kauilry Womens Valentine's Day Graphic Tees Short Sleeve Heart Printed Red Maching Couple Shirts Tops","http://www.amazon.com//dp/B07MHG69SK","Kauilry","1","1","$15.99","Clothing, Shoes &amp; Jewelry","27,142","200","$3,198","4 ","4.7","-"
"13","TeeStars - Red Hearts Tie for Valentine's Day Love Youth Kids T-Shirt","http://www.amazon.com//dp/B01N315VVH","Tstars","1","1","$14.99","Clothing, Shoes &amp; Jewelry","34,586","172","$2,578","31 ","4.3","-"
"4","Umeko Womens Sweaters Long Sleeve Cute Heart Cable Knitted Sweatshirts Valentine's Day Pullover Sweater Tops","http://www.amazon.com//dp/B078HFVX7W",,"1","1","$29.98","Clothing, Shoes &amp; Jewelry","35,504","169","$5,067","20 ","4.2","-"
"5","Be Mine Valentine's Day T Shirts Womens Cute Heart Stripe Long Sleeve Casual Baseball Tees Tops","http://www.amazon.com//dp/B0792QRY7X","DUTUT","1","1","$17.99","Clothing, Shoes &amp; Jewelry","35,722","169","$3,040","24 ","4.0","-"
"30","7 ate 9 Apparel Kids Dinosaur Happy Valentine's Day Grey Raglan","http://www.amazon.com//dp/B01NAO2FCA","7 ate 9 Apparel","1","1","$16.47","Clothing, Shoes &amp; Jewelry","35,918","168","$2,767","13 ","4.3","-"
"27","Disney His Minnie Her Mickey Couples Valentines Adult Funny Disneyland Graphic T-Shirt","http://www.amazon.com//dp/B07N2VK137",,"1","1","$19.95","Clothing, Shoes &amp; Jewelry","35,923","168","$3,352","28 ","3.8","-"
"33","Valentines Day Dump Truck Loads of Love 3/4 Sleeve Baseball Jersey Toddler Shirt","http://www.amazon.com//dp/B07MHXCBZP","Tstars","1","1","$16.95","Clothing, Shoes &amp; Jewelry","35,969","168","$2,848","6 ","3.4","-"
"34","Love Shirt Valentine's Day Baseball T Shirt for Women Plaid Love Heart Graphic Tee 3/4 Sleeve Raglan Tops Blouse","http://www.amazon.com//dp/B07M9KFM1L","UNIQUEONE","1","1","$18.99","Clothing, Shoes &amp; Jewelry","36,021","168","$3,190","14 ","4.9","-"
"23","CowCow Womes Stretchy Tights Red Happy Valentines Day Heart Love Couple Sweet Leggings, XS-5XL","http://www.amazon.com//dp/B014SUR5KA","CowCow","1","1","$16.99","Clothing, Shoes &amp; Jewelry","37,381","165","$2,803","91 ","3.7","-"
"49","Disney His Minnie Her Mickey Couples Valentines Adult Funny Disneyland Graphic T-Shirt","http://www.amazon.com//dp/B07N31J4XF",,"1","1","$21.95","Clothing, Shoes &amp; Jewelry","38,039","163","$3,578","25 ","4.4","-"
"42","Dabbing Heart Valentines Day Boys Kids Love Dab Dance Gifts T-Shirt","http://www.amazon.com//dp/B07MRSKGVP","Puntastic Valentines Day","1","1","$14.99","Clothing, Shoes &amp; Jewelry","38,361","163","$2,443","12 ","3.9","-"
"12","Three Hearts Leopard Buffalo Plaid Valentine's day Girl Kid T-Shirt","http://www.amazon.com//dp/B0835YJ6PS","Hearts Leopard Buffalo Plaid Valentine's day","1","1","$14.99","Clothing, Shoes &amp; Jewelry","38,992","161","$2,413",,,"-"
"21","Boys Valentines Day Kids Dinosaur T rex Lover I Steal Hearts T-Shirt","http://www.amazon.com//dp/B0797F2QCM","Puntastic Valentines Day","1","1","$14.99","Clothing, Shoes &amp; Jewelry","41,881","156","$2,338","13 ","4.8","-"
"41","I'm Digging Valentine's Gift Tractor Loving Boy Toddler Kids Long Sleeve T-Shirt","http://www.amazon.com//dp/B01NAUZN1Z","Tstars","1","1","$15.99","Clothing, Shoes &amp; Jewelry","42,228","155","$2,478","27 ","3.8","-"
"24","Valentine's Day I Love You This Much T-Rex Toddler Kids Long Sleeve T-Shirt","http://www.amazon.com//dp/B078MMC3Q9","Tstars","1","1","$14.95","Clothing, Shoes &amp; Jewelry","42,499","155","$2,317","19 ","4.4","-"
"16","Carter's Baby Boy's Valentine's Day Little Guy Big Heart Bodysuit and Pants","http://www.amazon.com//dp/B07M717FFV",,"1","1","$16.50","Clothing, Shoes &amp; Jewelry","42,787","155","$2,558","9 ","4.3","-"
"35","Plaid Heart Graphic T-Shirts Womens Valentine's Day Short Sleeve Tees Tops for Wife Gift","http://www.amazon.com//dp/B07MVXMC5P","KIDDAD","1","1","$16.99","Clothing, Shoes &amp; Jewelry","59,406","137","$2,328",,"5.0","-"
"57","Bee Kind T Shirts Women Funny Inspirational Teacher Fall Tees Tops Cute Graphic Blessed Shirt Blouse","http://www.amazon.com//dp/B07SNX3BGX","Zicotour","1","1","$14.99","Clothing, Shoes &amp; Jewelry","60,951","136","$2,039","67 ","4.6","-"
"32","Star Wars Yoda One For Me Cute Valentine's Graphic T-Shirt","http://www.amazon.com//dp/B079J71BZF",,"1","1","$22.99","Clothing, Shoes &amp; Jewelry","60,986","136","$3,127","19 ","5.0","-"
"58","Valentines Day Dabbing Heart Funny Boys Girls Kids T-Shirt","http://www.amazon.com//dp/B0823G9XZP","Mr Ben Valentines Day","1","1","$13.07","Clothing, Shoes &amp; Jewelry","65,028","134","$1,751",,,"-"
"28","Womens Love Cursive Heart Design Cute Stylish Valentine's Day T Shirt","http://www.amazon.com//dp/B01N7W1QG2",,"1","1","$14.99","Clothing, Shoes &amp; Jewelry","69,863","131","$1,964","75 ","3.7","-"
"51","ellos Women's Plus Size Love Tee","http://www.amazon.com//dp/B079Q67668",,"1","1","$25.70","Clothing, Shoes &amp; Jewelry","76,119","129","$3,315","92 ","3.8","-"
"17","Dancing Hearts Dance Challenge Valentines Day Boys Girl Kids T-Shirt","http://www.amazon.com//dp/B0823D3WNG","Mr Ben Valentines Day","1","1","$13.07","Clothing, Shoes &amp; Jewelry","77,767","128","$1,673",,,"-"
"26","Dancing Hearts Dance Challenge Valentines Day Boys Girl Kids T-Shirt","http://www.amazon.com//dp/B0823D3WNG","Mr Ben Valentines Day","1","1","$13.07","Clothing, Shoes &amp; Jewelry","77,767","128","$1,673",,,"-"
"38","Heart Crusher T-Rex Love Valentine's Day Outfit Toddler Kids Long Sleeve T-Shirt","http://www.amazon.com//dp/B078MBCNPQ","Tstars","1","1","$13.95","Clothing, Shoes &amp; Jewelry","81,124","127","$1,772","8 ","4.3","-"
"10","Taiduosheng Women's Off-Shoulder Blouses Sweatshirt Long Sleeve Print Love Tops","http://www.amazon.com//dp/B078WVWQ7F","Taiduosheng","1","1","$18.77","Clothing, Shoes &amp; Jewelry","88,960","125","$2,346","22 ","3.7","-"
"19","Valentine's Day Shirt Women Womens Buffalo Plaid Love Heart 3/4 Sleeve Raglans Baseball T-Shirt Tops","http://www.amazon.com//dp/B0818ZQZML","Zicotour","1","1","$15.99","Clothing, Shoes &amp; Jewelry","103,711","122","$1,951",,"5.0","-"
"45","Love Heart Equation Math Graphic Mens Ladies Funny Valentine's Day T Shirt","http://www.amazon.com//dp/B01B3ETB2E","Feelin Good Tees","1","1","$12.99","Clothing, Shoes &amp; Jewelry","108,506","121","$1,572","19 ","4.8","-"
"18","Zicotour Women Auntie T-Shirt Aunt Life Shirt Cute Aunt Gifts Short Sleeve Tee Shirt","http://www.amazon.com//dp/B082HMD917","Zicotour","1","1","$9.79","Clothing, Shoes &amp; Jewelry","109,519","121","$1,185","7 ","4.1","-"
"40","Kids Toddler Baby Girls Valentine's Day Outfits Dinosaur Flysleeve Shirt Suspender Heart Skirt Clothes Set","http://www.amazon.com//dp/B082NV52F8",,"1","1","$13.99","Clothing, Shoes &amp; Jewelry","113,391","121","$1,693",,"4.0","-"
"37","Kaitobe Womens Valentine's Day Long Sleeve Turtleneck Tops Love Printing Tunic Pullover Sweatshirt Jumper Blouse Tops","http://www.amazon.com//dp/B07MB4SVFN","Kaitobe Tops","1","1","$5.46","Clothing, Shoes &amp; Jewelry","120,448","120","$655",,"5.0","-"
"36","Heart Floss Like A Boss Valentines Day Boys Kids Flossing T-Shirt","http://www.amazon.com//dp/B07ML1SCXC","Puntastic Valentines Day","1","1","$15.99","Clothing, Shoes &amp; Jewelry","120,900","120","$1,919","9 ","5.0","-"
"15","The Children's Place Girls' Big Valentine'sshirt","http://www.amazon.com//dp/B07QYWMZKL",,"1","1","$12.81","Clothing, Shoes &amp; Jewelry","187,595","116","$1,486","2 ","4.0","-"
"55","Gothic Skull Heart Valentines Day T-Shirt","http://www.amazon.com//dp/B0792R1W1L","STYLEUNIVERSAL","1","1","$18.99","Clothing, Shoes &amp; Jewelry","265,285","114","$2,165",,,"-"
"46","7 ate 9 Apparel Womens Dinosaur Valentine's Day Raglan Shirt","http://www.amazon.com//dp/B01NCSFL66","7 ate 9 Apparel","1","1","$18.47","Clothing, Shoes &amp; Jewelry","310,763","113","$2,087","15 ","4.6","-"
"44","Cute Cursive Love Valentines Day Red Top For Women T-Shirt","http://www.amazon.com//dp/B07MQZ8S5M","Cute Valentines Day Gift Tees","1","1","$14.99","Clothing, Shoes &amp; Jewelry","323,190","113","$1,694","3 ","4.7","-"
"56","Boys Vintage Truck Hearts Cute Valentine's Day Kids Gift T-Shirt","http://www.amazon.com//dp/B07MY591DQ","Valentines Day Gifts For Boys Store","1","1","$13.07","Clothing, Shoes &amp; Jewelry","388,209","113","$1,477",,,"-"
"50","Unique Baby Boys Ladies Love Outlaws Valentine's Day Shirt","http://www.amazon.com//dp/B07KFQ4FCV","Unique Baby","1","1","$9.99","Clothing, Shoes &amp; Jewelry","690,180","112","$1,119","2 ","4.5","-"
"60",,,,"1","1","$15.64","Clothing, Shoes &amp; Jewelry","72,212","409","$8,463","67","3.5",
