"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019"
"meditation t shirt",250,"Anywhere",1.35,100,32,"","","","","","","","","","","","","","","","","","","","","","","","","","",210,260,210,260,210,260,210,210,260,260,260,260,210,260,210,210,170,210,210,170,260,260,260,320,260,260,320,320,210
"heavily meditated",520,"Anywhere",1.21,100,16,"","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,590,480,480,480,590,480,590,590,480,480,480,390,390,480,480,480,480,480,590,480,590,590,590,480,590
"heavily meditated shirt",160,"Anywhere",1.31,100,,"","","","","","","","","","","","","","","","","","","","","","","","","","",,,,,140,170,170,210,260,320,210,170,210,140,110,90,110,140,170,70,140,210,210,140,140,260,170,140,140
"meditation shirt",210,"Anywhere",1.08,100,31,"","","","","","","","","50","50","90","170","110","110","110","140","140","210","140","210","170","170","170","170","170","170",140,140,210,170,140,170,170,170,170,210,170,210,170,170,170,210,170,170,210,170,210,170,260,210,210,320,210,210,170
"trump shirts",17200,"Anywhere",0.94,100,34,"","","","","3600","2400","2900","6600","6600","12100","27100","18100","27100","27100","33100","27100","33100","40500","110000","27100","40500","22200","14800","12100","14800","18100",14800,12100,12100,9900,9900,9900,9900,8100,9900,8100,12100,18100,18100,14800,12100,22200,14800,12100,12100,12100,12100,12100,12100,22200,27100,22200,18100,22200,22200
"meditation clothing",1200,"Anywhere",0.78,100,18,"","","","","1000","880","880","880","1000","1000","1000","1000","1000","880","1000","1000","1000","1000","1000","1000","1300","1000","1300","1300","1000","1000",1000,1000,1000,880,1000,1000,1300,1000,1300,1300,1000,1000,1300,1000,1000,1000,1000,880,1300,1000,1300,1000,1000,1300,1300,1300,1600,1300,1300
"yoga shirt",6800,"Anywhere",1.55,100,42,"","","","","1600","1600","1900","2400","2900","2400","2400","1900","1900","1900","1900","1900","2400","5400","5400","6600","6600","6600","6600","6600","5400","5400",5400,5400,4400,5400,6600,6600,8100,6600,6600,6600,5400,5400,5400,5400,5400,5400,6600,6600,8100,6600,6600,6600,6600,5400,6600,6600,6600,8100,8100
"meditation cushion",15600,"Anywhere",0.97,100,36,"","","","","8100","8100","9900","12100","12100","9900","9900","9900","9900","8100","9900","9900","9900","9900","12100","14800","14800","12100","12100","12100","12100","9900",12100,12100,9900,12100,14800,14800,14800,12100,12100,12100,12100,12100,12100,14800,14800,12100,14800,18100,18100,14800,14800,14800,14800,14800,14800,14800,14800,14800,18100
"meditation pillow",12200,"Anywhere",1.06,100,36,"","","","","5400","4400","6600","8100","8100","6600","6600","5400","5400","5400","5400","6600","6600","6600","9900","12100","12100","8100","8100","8100","8100","6600",8100,9900,8100,8100,12100,14800,14800,9900,12100,9900,9900,8100,9900,9900,9900,9900,12100,14800,14800,12100,12100,9900,9900,9900,12100,12100,12100,12100,14800
"yoga t shirt",800,"Anywhere",0.95,100,21,"590","590","590","480","480","480","480","480","480","480","580","580","580","580","480","580","720","720","720","720","720","720","720","720","720","880",720,720,720,720,880,880,880,880,720,720,720,880,580,580,580,580,580,720,880,720,720,720,880,1080,880,720,720,720,880
