Item Link,Brand,Title,Category,BSR,Monthly Revenue,Price,Unit Margin,Monthly Sales,Review Quantity,Review Rate,Average Rating,Sold By,Sales / Reviews,Date Listed,Net Profit,Outlier Reason,Images,New Offers,Used Offers,Height,Width,Length,Weight,Size Tier,ASIN,Last 12 Months Sales,Last 12 Months Revenue,Next 12 Months Sales,Next 12 Months Revenue
https://www.amazon.com/dp/B07CYJDG56,COOFANDY,"COOFANDY Mens Fashion T Shirt Cotton Tee Hippie Shirts Long Sleeve Yoga Top,White,Medium","Clothing, Shoes & Jewelry/Departments/Men/Clothing/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Men/Shops/Big & Tall/Shirts/T-Shirts",25594,"$16,673.05",$23.99,$17.12,695,214,0.25,4.1,FBA,3.25,2018-05-09,"$11,898.40",,"61wmpNtnVVL.jpg, 71ry9QeSC-L.jpg, 61hU8DlYV3L.jpg, 81mblfHpNWL.jpg, 71%2Bfcqsrs8L.jpg, 81cKu5a0V5L.jpg, 61z3yuwXUJL.jpg",,,1.3386in,10.6299in,14.685in,0.6107lb,LargeStandardSize,B07CYJDG56,25148,"$603,300.52",18788,"$450,724.12"
https://www.amazon.com/dp/B07QR1J6GT,COOFANDY,COOFANDY Mens Fashion T Shirt Cotton Tee Hippie Shirts Beach Yoga String Top Black,"Clothing, Shoes & Jewelry/Departments/Men/Clothing/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Men/Shops/Big & Tall/Shirts/T-Shirts",25594,"$16,505.12",$23.99,$17.12,688,192,0.157,4.1,FBA,3.58,--,"$11,778.56",,"61xtrcb4xvL.jpg, 61eeMQxU73L.jpg, 61RWIu6lGSL.jpg, 71DrZ-x3nxL.jpg, 61PTJvQhhRL.jpg, 71Q1qekaqxL.jpg, 61z3yuwXUJL.jpg",,,1.3386in,10.6299in,14.685in,0.6107lb,LargeStandardSize,B07QR1J6GT,,,,
https://www.amazon.com/dp/B07XXZMR96,COOFANDY,COOFANDY Mens Fashion T Shirt Cotton Tee Hippie Shirts V-Neck Long Sleeve Yoga Top for Men Brown,"Clothing, Shoes & Jewelry/Departments/Men/Clothing/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Men/Shops",25594,"$15,809.41",$23.99,$17.12,659,214,0,4.1,FBA,3.08,--,"$11,282.08",,"71NE8kC0nqL.jpg, 71CiJ7ebHXL.jpg, 71GNClfwUtL.jpg, 81Y%2BhZzkIYL.jpg, 81DcFP5XxbL.jpg, 81xIg1UanpL.jpg, 61z3yuwXUJL.jpg",,,1.1811in,12.7559in,13.8976in,0.6107lb,LargeStandardSize,B07XXZMR96,,,,
https://www.amazon.com/dp/B07S981DNF,COOFANDY,COOFANDY Mens Fashion T Shirt Cotton Tee Hippie Shirts Long Sleeve Beach Yoga Top Charcoal,"Clothing, Shoes & Jewelry/Departments/Men/Clothing/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Men/Shops/Big & Tall/Shirts/T-Shirts",25594,"$14,403.45",$21.99,$15.42,655,214,0,4.1,FBA,3.06,--,"$10,100.10",,"71yjv%2B4o-LL.jpg, 71nqJqtuVpL.jpg, 71q9GKcB0kL.jpg, 719uVh0VHuL.jpg, 718yVB3lHoL.jpg, 81-6qo2l0wL.jpg, 61z3yuwXUJL.jpg",,,1.3386in,10.6299in,14.685in,0.6107lb,LargeStandardSize,B07S981DNF,,,,
https://www.amazon.com/dp/B07QNTLZG1,COOFANDY,COOFANDY Mens Fashion T Shirt Cotton Tee Hippie Shirts Long Sleeve Beach Yoga Top,"Clothing, Shoes & Jewelry/Departments/Men/Clothing/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Men/Shops/Big & Tall/Shirts/T-Shirts",25594,"$15,953.35",$23.99,$17.12,665,214,0.257,4.1,FBA,3.11,--,"$11,384.80",,"714qMfcJ0XL.jpg, 71QXaJ-tXHL.jpg, 71XO5j9jTlL.jpg, 81r2sK28LRL.jpg, 81vW0r3WfkL.jpg, 81FO-JUIKyL.jpg, 61z3yuwXUJL.jpg",,,1.3386in,10.6299in,14.685in,0.6107lb,LargeStandardSize,B07QNTLZG1,,,,
https://www.amazon.com/dp/B07X2VS7TB,COOFANDY,COOFANDY Mens Fashion T Shirt Cotton Tee Hippie Shirts Long Sleeve Beach Yoga Top,"Clothing, Shoes & Jewelry/Departments/Men/Clothing/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Men/Shops",25594,"$15,449.28",$22.99,$16.27,672,214,0,4.1,FBA,3.14,--,"$10,933.44",,"61B7HFcRpeL.jpg, 31PAEPxE4IL.jpg, 61UXf8Vo8eL.jpg, 614-Ve1aoxL.jpg, 81B5IwGflfL.jpg, 81wNQiCQi3L.jpg, 81bTDgu-kuL.jpg",,,1.1811in,12.7559in,13.8976in,0.6107lb,LargeStandardSize,B07X2VS7TB,,,,
https://www.amazon.com/dp/B078HKX69K,Ann Arbor T-shirt Co.,"Let That Shit Go | Funny Zen Buddha Yoga Mindfulness Yogi Peace Hippy T-Shirt-(Adult,XL) Heather Grey","Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts",64099,"$7,654.40",$14.95,$9.44,512,121,0.053,4.3,FBA,4.23,2017-12-19,"$4,833.28",,"81LBcmGnX2L.jpg, 81iF1XxIiEL.jpg, 81jVSQz%2BcwL.jpg, 81-Jbfo89-L.jpg, 91-DPAXj1ZL.jpg, 71wnoa-zhjL.jpg",,,1.811in,10.7874in,10.7874in,0.399lb,LargeStandardSize,B078HKX69K,3978,"$59,471.10",2972,"$44,431.40"
https://www.amazon.com/dp/B07P614M83,Ann Arbor T-shirt Co.,"Let That Sht Go | Funny Zen Buddha Yoga Mindfulness Peace Hippy Women's T-Shirt-(Vneck,L)","Clothing, Shoes & Jewelry/Departments/Women/Clothing & Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",39688,"$15,068.55",$16.95,$11.19,889,124,0.121,4.6,FBA,7.17,2019-02-28,"$9,947.91",,"81lrHrz2S9L.jpg, 81CPjWgz80L.jpg, 81FUWko2KZL.jpg, 81iZSi168XL.jpg, 81DA-vEYnYL.jpg, 71gQpi-7f3L.jpg",,,1.2992in,6.8898in,9.4882in,0.0507lb,LargeStandardSize,B07P614M83,,,,
https://www.amazon.com/dp/B07WHZM2VV,Ann Arbor T-shirt Co.,"Ann Arbor T-shirt Co. Let That Sht Go | Funny Zen Buddha Yoga Mindfulness Peace Hippy Women's Tank Top-(Racerback,M)","Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/Tanks & Camis",39688,"$14,966.85",$16.95,$11.98,883,124,0.034,4.6,FBA,7.12,--,"$10,578.34",,"91hKvFSLgfL.jpg, 81DnIyuOfZL.jpg, 81a573Bee4L.jpg, 81w8J8s2WeL.jpg, 91cTRHRgSML.jpg, 71gQpi-7f3L.jpg",,,0.7087in,7.7165in,8.5827in,0.2491lb,SmallStandardSize,B07WHZM2VV,,,,
https://www.amazon.com/dp/B07DB487B2,Buddha Jumps Over The Wall,Gautama Buddha T-Shirt Buddhist Zen Buddhism Meditation Tee,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys",681272,$569.10,$18.97,$12.90,30,2,0.1,4.7,AMZN,15,2018-05-25,$387.00,Sales,"71tq%2BL4LhFL.jpg, 71735wVHxxL.jpg",,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07DB487B2,358,"$6,791.26",,
